"Activity","Деятельность"
"Action","Действие"
"Add Company","Добавить компанию"
"Add New Company","Добавить новую компанию"
"Address:","Адрес:"
"All Task List","Список Здач"
"Are you sure?","Уверены?"
"Balance","Баланс"
"Back","Назад"
"Be the first to review this company","Оставь отзыв о компании первым"
"Type:","Тип"
"Change status","Изменить статус"
"Company","Компания"
"Company View: ","О компании "
"Companies","Компании"
"Company Address","АдресаКкомпании"
"Company Attributes","Аттрибуты"
"Company Information","Информация о Компании"
"Company Owners","Владельцы Компании"
"Company Prices","Каталоги цен"
"Company was saved","Данные Компании сохранены"
"Config Description","Описание конфигурации"
"Corporation","Корпорация"
"Country:","Страна"
"Created at","Создана"
"Delete Company","Удалить Компанию"
"Delete Configuration","Удалить Конфигурацию"
"Delete","Удалить"
"Disabled","Не аткивна"
"Edit","Редактировать"
"Edit Company '%s'","Редактирование Компании '%s'"
"Edit Settings","Редактировать настройки"
"Enabled","Активна"
"Export","Экспорт"
"Export to:","Экспорт в..."
"Entrepreneur","Предпрениматель"
"Feedback","Отзывы"
"General Information","Основная Инвормация"
"License","Лицензии"
"More","Подробнее"
"Manage Company","Управление Компаниями"
"Manage Price Type","Управления типами прайсов"
"Manufacturer Code","Код производителя"
"Manufacturer","Производитель"
"Manufacturers","Производители"
"Mixed","Смешаный"
"Name","Название"
"New Configuration","Добавить Конфигурацию"
"-- Please Select --","-- Выберите --"
"Parser Configuration","Конфигурация парсера"
"Parser Queue","Очередь"
"Parser Log","Лог парсинга"
"Parser Price Type","Тип прайса"
"Parser Setting","настройка парсера"
"Parser Settings","настройки парсера"
"Portfolio","Портфолио"
"Price Parser","Парсер Прайс листов"
"Product List","Список товаров"
"Producer","Производитель"
"Registration Date:","Дата регистрации:"
"Reset","Сбросить все"
"Reset Filter","Сбросить Фильтр"
"Search","Найти"
"Seller","Продавец"
"Sellers","Продавцы"
"Settings","Настройки"
"Setting String","Строка настройки"
"Status","Статус"
"Submit","Выполнить"
"Save Company","Сохранить компанию"
"Save And Continue Edit","Сохранить и продолжить редактирование"
"Site:","Сайт:"
"Shop","Магазин"
"Parser Task Manage","Управление задачами парсера"
"Telephone:","Телефон:"
"Topicality","Актуальность"
"Updated at","Изменено"
"There are no companies registered at this moment","Нет зарегистрированных на данный момент компаний"
"There are no reviews at this moment","Нет отзывов на данный момент"
"Total of %d record(s) have been deleted.","Удалено %d записей"
